name,tissue,target,publication,source,filename
haftorn.etd,cord,gestational age,10.1186/s13148-021-01055-z,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8056641/bin/13148_2021_1055_MOESM4_ESM.xlsx,haftorn/etd.csv
epitoc,blood,stem cell divisions,10.1186/s13059-016-1064-3,https://static-content.springer.com/esm/art%3A10.1186%2Fs13059-016-1064-3/MediaObjects/13059_2016_1064_MOESM2_ESM.xls,epitoc/coefs.csv
dunedinpoam38,blood,pace of aging,10.7554/eLife.54870,https://github.com/danbelsky/DunedinPoAm38,dunedinpoam38/coefs.csv
dunedinpace,blood,pace of aging,10.7554/eLife.73420,https://github.com/danbelsky/DunedinPACE,dunedinpace/coefs.csv
hillary,blood,crp,https://www.medrxiv.org/content/10.1101/2023.11.02.23298000v1,https://raw.githubusercontent.com/robertfhillary/dnam-crp/main/Projections_Test_Cohorts/Predictors_by_groups.csv,hillary/coefs.csv
brenner,blood,mortality,10.1038/ncomms14617,Supplementary Figure 1,brenner/coefs.csv
epitoc2,blood,stem cell divisions,10.1186/s13073-020-00752-3,https://zenodo.org/record/2632938/files/dataETOC2.Rd?download=1,epitoc2/coefs.csv
lee.cpc,placenta,gestational age,10.18632/aging.102049,https://www.aging-us.com/article/102049/supplementary/SD2/0/aging-v11i12-102049-supplementary-material-SD2.csv,lee/coefs-cpc.csv
lee.rpc,placenta,gestational age,10.18632/aging.102049,https://www.aging-us.com/article/102049/supplementary/SD2/0/aging-v11i12-102049-supplementary-material-SD2.csv,lee/coefs-rpc.csv
lee.rrpc,placenta,gestational age,10.18632/aging.102049,https://www.aging-us.com/article/102049/supplementary/SD2/0/aging-v11i12-102049-supplementary-material-SD2.csv,lee/coefs-rrpc.csv
phenoage,blood,age,10.18632/aging.101414,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940111/bin/aging-10-101414-s002.csv,levine/coefs.csv
mayne,placenta,gestational age,10.2217/epi-2016-0103,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6040051/bin/epi-09-279-s6.xlsx,mayne/coefs.csv
pedbe,buccal epithelial,age,10.1073/pnas.1820843116,https://raw.githubusercontent.com/kobor-lab/Public-Scripts/master/datcoefInteresting94.csv,pedbe/coefs.csv
skin,fibroblasts,age,10.18632/aging.101508,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6075434/bin/aging-10-101508-s005.csv,skin/coefs.csv
dnamtl,blood,telomere length,10.18632/aging.102173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6738410/bin/aging-11-102173-s003.xlsx,tl/coefs.csv
zhang,blood,age,10.1186/s13073-019-0667-1,https://github.com/qzhang314/DNAm-based-age-predictor,zhang/coef-en.csv
zhang.blup,blood,age,10.1186/s13073-019-0667-1,https://github.com/qzhang314/DNAm-based-age-predictor,zhang/coef-blup.csv
miage,blood,stem cell divisions,10.1080/15592294.2017.1389361,http://www.columbia.edu/~sw2206/softwares/mitotic_age_R_code.zip,miage/coefs.csv
richard-huang-sbp,blood,systolic blood pressure,10.1016/j.ajhg.2017.09.028,NA,richard-huang-sbp/richard-huang-sbp.withcovars.csv
richard-huang-dbp,blood,diastolic blood pressure,10.1161/HYPERTENSIONAHA.120.14973,NA,richard-huang-dbp/richard-huang-dbp.withcovars.csv
richard-sbp,blood,systolic blood pressure,10.1016/j.ajhg.2017.09.028,NA,richard-sbp/richard-sbp.csv
richard-dbp,blood,diastolic blood pressure,10.1016/j.ajhg.2017.09.028,NA,richard-dbp/richard-dbp.csv
ADAMTS,blood,ADAMTS,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/ADAMTS.csv
Adiponectin,blood,Adiponectin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Adiponectin.csv
Afamin,blood,Afamin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Afamin.csv
Alpha-L-iduronidase,blood,Alpha-L-iduronidase,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Alpha-L-iduronidase.csv
Aminoacylase-1,blood,Aminoacylase-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Aminoacylase-1.csv
B2-microglobulin,blood,B2-microglobulin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/B2-microglobulin.csv
BCAM,blood,BCAM,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/BCAM.csv
BMP-1,blood,BMP-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/BMP-1.csv
CCL11,blood,CCL11,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL11.csv
CCL17,blood,CCL17,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL17.csv
CCL18,blood,CCL18,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL18.csv
CCL21,blood,CCL21,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL21.csv
CCL22,blood,CCL22,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL22.csv
CCL25_C-C,blood,CCL25_C-C,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CCL25_C-C.csv
CD163,blood,CD163,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD163.csv
CD209_antigen,blood,CD209_antigen,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD209_antigen.csv
CD48_antigen,blood,CD48_antigen,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD48_antigen.csv
CD6,blood,CD6,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CD6.csv
CDL5,blood,CDL5,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CDL5.csv
CHIT-1,blood,CHIT-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CHIT-1.csv
CLEC11A_e1,blood,CLEC11A_e1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CLEC11A_e1.csv
CLEC11A_e2,blood,CLEC11A_e2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CLEC11A_e2.csv
Coagulation_factor VII,blood,Coagulation_factor VII,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Coagulation_factor VII.csv
Complement_C4,blood,Complement_C4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_C4.csv
Complement_C5a,blood,Complement_C5a,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_C5a.csv
Complement_c9,blood,Complement_c9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Complement_c9.csv
Contactin-4,blood,Contactin-4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Contactin-4.csv
CRP,blood,CRP,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CRP.csv
CRTAM,blood,CRTAM,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CRTAM.csv
CXCL10,blood,CXCL10,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL10.csv
CXCL10_soma,blood,CXCL10_soma,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL10_soma.csv
CXCL11,blood,CXCL11,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL11.csv
CXCL11_soma,blood,CXCL11_soma,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL11_soma.csv
CXCL9,blood,CXCL9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/CXCL9.csv
E-selectin,blood,E-selectin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/E-selectin.csv
Ectodysplasin-A,blood,Ectodysplasin-A,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Ectodysplasin-A.csv
EN.RAGE,blood,EN.RAGE,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/EN.RAGE.csv
ENPP7,blood,ENPP7,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/ENPP7.csv
ESM-1,blood,ESM-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/ESM-1.csv
EZR,blood,EZR,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/EZR.csv
FAP,blood,FAP,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/FAP.csv
FCER2,blood,FCER2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/FCER2.csv
FCGR3A,blood,FCGR3A,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/FCGR3A.csv
FcRL2,blood,FcRL2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/FcRL2.csv
FGF.21,blood,FGF.21,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/FGF.21.csv
G.CSF,blood,G.CSF,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/G.CSF.csv
Galectin-4,blood,Galectin-4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Galectin-4.csv
GDF.8,blood,GDF.8,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/GDF.8.csv
GHR,blood,GHR,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/GHR.csv
GPIba,blood,GPIba,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/GPIba.csv
Granulysin,blood,Granulysin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Granulysin.csv
Granzyme_A,blood,Granzyme_A,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Granzyme_A.csv
GZMA,blood,GZMA,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/GZMA.csv
HCII,blood,HCII,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/HCII.csv
HGF,blood,HGF,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/HGF.csv
HGFA,blood,HGFA,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/HGFA.csv
HGFI,blood,HGFI,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/HGFI.csv
ICAM5,blood,ICAM5,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/ICAM5.csv
IGFBP-1,blood,IGFBP-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/IGFBP-1.csv
IGFBP-4,blood,IGFBP-4,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/IGFBP-4.csv
Insulin_receptor,blood,Insulin_receptor,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Insulin_receptor.csv
Interleukin-19,blood,Interleukin-19,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Interleukin-19.csv
L-selectin,blood,L-selectin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/L-selectin.csv
LFT,blood,LFT,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/LFT.csv
LGALS3BP,blood,LGALS3BP,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/LGALS3BP.csv
LY9,blood,LY9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/LY9.csv
Lymphotoxin_abeta,blood,Lymphotoxin_abeta,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Lymphotoxin_abeta.csv
Lysozyme_C,blood,Lysozyme_C,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Lysozyme_C.csv
MIA,blood,MIA,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MIA.csv
MMP-1,blood,MMP-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MMP-1.csv
MMP-12,blood,MMP-12,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MMP-12.csv
MMP-2,blood,MMP-2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MMP-2.csv
MMP-9,blood,MMP-9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MMP-9.csv
MMP.1,blood,MMP.1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MMP.1.csv
MRC2,blood,MRC2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/MRC2.csv
Myeloperoxidase,blood,Myeloperoxidase,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Myeloperoxidase.csv
N.CDase,blood,N.CDase,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/N.CDase.csv
NCAM-120,blood,NCAM-120,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NCAM-120.csv
NEP,blood,NEP,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NEP.csv
NMNAT1,blood,NMNAT1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NMNAT1.csv
NOTCH1,blood,NOTCH1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NOTCH1.csv
NRTK3,blood,NRTK3,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NRTK3.csv
NTRK3,blood,NTRK3,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/NTRK3.csv
OSM,blood,OSM,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/OSM.csv
Osteomodulin,blood,Osteomodulin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Osteomodulin.csv
PAPP-A,blood,PAPP-A,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/PAPP-A.csv
PIGR,blood,PIGR,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/PIGR.csv
RARRES2,blood,RARRES2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/RARRES2.csv
Resistin,blood,Resistin,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Resistin.csv
S100-A9,blood,S100-A9,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/S100-A9.csv
Semaphorin-3E,blood,Semaphorin-3E,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Semaphorin-3E.csv
SERPIN_A3,blood,SERPIN_A3,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SERPIN_A3.csv
SHBG,blood,SHBG,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SHBG.csv
SIGLEC1,blood,SIGLEC1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SIGLEC1.csv
SKR3,blood,SKR3,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SKR3.csv
SLITRK5,blood,SLITRK5,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SLITRK5.csv
SMPD1,blood,SMPD1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/SMPD1.csv
Stanniocalcin-1,blood,Stanniocalcin-1,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Stanniocalcin-1.csv
Testican-2,blood,Testican-2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/Testican-2.csv
TGF.alpha,blood,TGF.alpha,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/TGF.alpha.csv
THBS2,blood,THBS2,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/THBS2.csv
TNFRSF17,blood,TNFRSF17,10.7554/ELIFE.71802,https://zenodo.org/record/5869576/files/Predictors_Shiny_by_Groups.csv,episcores/TNFRSF17.csv
